Idade investidores,Capital Inicial
0;18,1.000;10.000
0;18,100;500
19;29,100;500
19;29,500;1000
19;29,0;100
50;99,500;1000
30;39,100;500
19;29,0;100
0;18,1.000;10.000
19;29,500;1000
19;29,100;500
0;18,0;100
0;18,0;100
0;18,1.000;10.000
19;29,100;500
19;29,100;500
19;29,100;500
19;29,1.000;10.000
19;29,1.000;10.000
19;29,100;500
19;29,0;100
19;29,500;1000
19;29,100;500
19;29,1.000;10.000
19;29,100;500
19;29,10.000;100.000
19;29,1.000;10.000
0;18,100;500
19;29,1.000;10.000
0;18,0;100
0;18,100;500
0;18,1.000;10.000
19;29,1.000;10.000
19;29,1.000;10.000
19;29,1.000;10.000
19;29,0;100
19;29,500;1000
0;18,100;500
0;18,100;500
19;29,1.000;10.000
0;18,100;500
0;18,1.000;10.000
0;18,100;500
19;29,100;500
19;29,500;1000
19;29,0;100
50;99,500;1000
30;39,100;500
19;29,0;100
0;18,1.000;10.000
19;29,500;1000
19;29,100;500
0;18,0;100
0;18,0;100
0;18,1.000;10.000
19;29,100;500
19;29,100;500
19;29,100;500
19;29,1.000;10.000
19;29,1.000;10.000
19;29,100;500
19;29,0;100
19;29,500;1000
19;29,100;500
19;29,1.000;10.000
19;29,100;500
19;29,10.000;100.000
19;29,1.000;10.000
0;18,100;500
19;29,1.000;10.000
0;18,0;100
0;18,100;500
0;18,1.000;10.000
19;29,1.000;10.000
19;29,1.000;10.000
19;29,1.000;10.000
19;29,0;100
19;29,500;1000
0;18,100;500
0;18,100;500
19;29,1.000;10.000
0;18,100;500
19;29,100;500
19;29,0;100
19;29,500;1000
19;29,100;500
19;29,1.000;10.000
19;29,100;500
19;29,10.000;100.000
19;29,1.000;10.000
0;18,100;500
19;29,1.000;10.000
0;18,0;100
0;18,100;500
0;18,1.000;10.000
19;29,1.000;10.000
19;29,1.000;10.000
19;29,1.000;10.000
19;29,0;100
19;29,500;1000
0;18,100;500
0;18,100;500
19;29,1.000;10.000
0;18,100;500
19;29,0;100
19;29,500;1000
0;18,100;500
0;18,100;500
19;29,1.000;10.000
0;18,100;500
0;18,1.000;10.000
0;18,100;500
19;29,100;500
19;29,500;1000
19;29,0;100